Date : 2024-01-12 11:33:03
Directory : d:\Projects\FlutterProjects\neuroparenting
Total : 115 files,  5603 codes, 354 comments, 519 blanks, all 6476 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         34 |      3,419 |         69 |        205 |      3,693 |
| XML        |         36 |        723 |         48 |         16 |        787 |
| C++        |         16 |        570 |        121 |        182 |        873 |
| JSON       |         10 |        369 |          0 |          3 |        372 |
| HTML       |          2 |        182 |         22 |         21 |        225 |
| Groovy     |          3 |        113 |          7 |         27 |        147 |
| YAML       |          2 |         81 |         80 |         23 |        184 |
| Swift      |          6 |         72 |          7 |         20 |         99 |
| CMake      |          2 |         48 |          0 |         12 |         60 |
| Markdown   |          2 |         17 |          0 |          9 |         26 |
| Properties |          2 |          9 |          0 |          1 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |        115 |      5,603 |        354 |        519 |      6,476 |
| . (Files)                                                                                                     |          3 |         95 |         80 |         30 |        205 |
| android                                                                                                       |         17 |        267 |         53 |         40 |        360 |
| android (Files)                                                                                               |          3 |         59 |          2 |         14 |         75 |
| android\app                                                                                                   |         13 |        203 |         51 |         25 |        279 |
| android\app (Files)                                                                                           |          2 |         88 |          5 |         13 |        106 |
| android\app\src                                                                                               |         11 |        115 |         46 |         12 |        173 |
| android\app\src\debug                                                                                         |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                          |          9 |        109 |         38 |         10 |        157 |
| android\app\src\main (Files)                                                                                  |          1 |         17 |          6 |          2 |         25 |
| android\app\src\main\res                                                                                      |          8 |         92 |         32 |          8 |        132 |
| android\app\src\main\res\drawable                                                                             |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\drawable-night                                                                       |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\drawable-night-v21                                                                   |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\drawable-v21                                                                         |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\values                                                                               |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night                                                                         |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night-v31                                                                     |          1 |         15 |          7 |          1 |         23 |
| android\app\src\main\res\values-v31                                                                           |          1 |         15 |          7 |          1 |         23 |
| android\app\src\profile                                                                                       |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                        |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                        |         24 |        219 |          0 |          1 |        220 |
| assets\icons                                                                                                  |          3 |        100 |          0 |          1 |        101 |
| assets\images                                                                                                 |         19 |         97 |          0 |          0 |         97 |
| assets\lang                                                                                                   |          2 |         22 |          0 |          0 |         22 |
| ios                                                                                                           |         10 |        298 |          4 |         14 |        316 |
| ios (Files)                                                                                                   |          1 |          7 |          0 |          0 |          7 |
| ios\Runner                                                                                                    |          8 |        284 |          2 |         10 |        296 |
| ios\Runner (Files)                                                                                            |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                               |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                    |          4 |        203 |          0 |          5 |        208 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                 |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                                                          |          1 |         22 |          0 |          1 |         23 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                               |          2 |         59 |          0 |          3 |         62 |
| ios\Runner\Base.lproj                                                                                         |          2 |         68 |          2 |          2 |         72 |
| lib                                                                                                           |         33 |      3,405 |         59 |        198 |      3,662 |
| lib (Files)                                                                                                   |          2 |        126 |         13 |         16 |        155 |
| lib\src                                                                                                       |         31 |      3,279 |         46 |        182 |      3,507 |
| lib\src (Files)                                                                                               |          2 |        324 |          4 |         22 |        350 |
| lib\src\localization                                                                                          |          2 |         40 |          0 |         14 |         54 |
| lib\src\pages                                                                                                 |         19 |      2,731 |         41 |        113 |      2,885 |
| lib\src\pages\article                                                                                         |          1 |        484 |          2 |         31 |        517 |
| lib\src\pages\auth                                                                                            |          7 |      1,394 |         23 |         37 |      1,454 |
| lib\src\pages\auth_func                                                                                       |          1 |          0 |          0 |          1 |          1 |
| lib\src\pages\campaign                                                                                        |          1 |          0 |          0 |          1 |          1 |
| lib\src\pages\chatbot                                                                                         |          1 |          0 |          0 |          1 |          1 |
| lib\src\pages\consult                                                                                         |          1 |          0 |          0 |          1 |          1 |
| lib\src\pages\course                                                                                          |          1 |          0 |          0 |          1 |          1 |
| lib\src\pages\forum                                                                                           |          1 |        336 |          4 |         11 |        351 |
| lib\src\pages\games                                                                                           |          1 |          0 |          0 |          1 |          1 |
| lib\src\pages\onboarding                                                                                      |          2 |        199 |          8 |         11 |        218 |
| lib\src\pages\settings                                                                                        |          1 |        195 |          4 |         12 |        211 |
| lib\src\pages\under_construction                                                                              |          1 |        123 |          0 |          5 |        128 |
| lib\src\reusable_comp                                                                                         |          2 |         56 |          0 |          8 |         64 |
| lib\src\reusable_func                                                                                         |          4 |         80 |          1 |         17 |         98 |
| lib\src\theme                                                                                                 |          2 |         48 |          0 |          8 |         56 |
| linux                                                                                                         |          6 |        127 |         27 |         44 |        198 |
| linux (Files)                                                                                                 |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                                 |          3 |         41 |          9 |         17 |         67 |
| macos                                                                                                         |          7 |        471 |          5 |         15 |        491 |
| macos (Files)                                                                                                 |          1 |          7 |          0 |          0 |          7 |
| macos\Flutter                                                                                                 |          1 |         26 |          3 |          4 |         33 |
| macos\Runner                                                                                                  |          4 |        431 |          0 |          7 |        438 |
| macos\Runner (Files)                                                                                          |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                             |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                  |          1 |         68 |          0 |          0 |         68 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                               |          1 |         68 |          0 |          0 |         68 |
| macos\Runner\Base.lproj                                                                                       |          1 |        343 |          0 |          1 |        344 |
| public                                                                                                        |          1 |         79 |          6 |          5 |         90 |
| test                                                                                                          |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                           |          2 |        138 |         16 |         16 |        170 |
| windows                                                                                                       |         11 |        490 |         94 |        149 |        733 |
| windows\flutter                                                                                               |          3 |         62 |          9 |         17 |         88 |
| windows\runner                                                                                                |          8 |        428 |         85 |        132 |        645 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                      | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
