Date : 2024-01-09 10:37:27
Directory : d:\Projects\FlutterProjects\neuroparenting
Total : 85 files,  2181 codes, 300 comments, 371 blanks, all 2852 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C++        |         16 |        538 |        121 |        182 |        841 |
| XML        |         19 |        532 |         48 |         12 |        592 |
| Dart       |         25 |        522 |         21 |         80 |        623 |
| JSON       |          7 |        293 |          0 |          4 |        297 |
| Groovy     |          3 |        108 |          7 |         26 |        141 |
| Swift      |          6 |         54 |          7 |         20 |         81 |
| CMake      |          2 |         38 |          0 |         12 |         50 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| YAML       |          2 |         32 |         80 |         19 |        131 |
| Markdown   |          2 |         17 |          0 |          9 |         26 |
| Properties |          2 |          9 |          0 |          1 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |         85 |      2,181 |        300 |        371 |      2,852 |
| . (Files)                                                                                                |          3 |         46 |         80 |         26 |        152 |
| android                                                                                                  |         13 |        205 |         53 |         36 |        294 |
| android (Files)                                                                                          |          3 |         57 |          2 |         14 |         73 |
| android\app                                                                                              |          9 |        143 |         51 |         21 |        215 |
| android\app (Files)                                                                                      |          2 |         84 |          5 |         12 |        101 |
| android\app\src                                                                                          |          7 |         59 |         46 |          9 |        114 |
| android\app\src\debug                                                                                    |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                     |          5 |         53 |         38 |          7 |         98 |
| android\app\src\main (Files)                                                                             |          1 |         27 |          6 |          1 |         34 |
| android\app\src\main\res                                                                                 |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                        |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                    |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                          |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                    |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                  |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                           |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                   |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                   |         11 |         85 |          0 |          0 |         85 |
| assets\icons                                                                                             |          2 |         62 |          0 |          0 |         62 |
| assets\images                                                                                            |          7 |          7 |          0 |          0 |          7 |
| assets\lang                                                                                              |          2 |         16 |          0 |          0 |         16 |
| ios                                                                                                      |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                               |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                       |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                          |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                               |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                            |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                          |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                    |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                      |         24 |        508 |         11 |         73 |        592 |
| lib (Files)                                                                                              |          1 |         54 |          1 |         10 |         65 |
| lib\src                                                                                                  |         23 |        454 |         10 |         63 |        527 |
| lib\src (Files)                                                                                          |          1 |          0 |          0 |          1 |          1 |
| lib\src\localization                                                                                     |          3 |         40 |          0 |         15 |         55 |
| lib\src\pages                                                                                            |         14 |        293 |          9 |         27 |        329 |
| lib\src\pages\auth                                                                                       |          5 |         99 |          1 |          9 |        109 |
| lib\src\pages\campaign                                                                                   |          1 |          0 |          0 |          1 |          1 |
| lib\src\pages\chatbot                                                                                    |          1 |          0 |          0 |          1 |          1 |
| lib\src\pages\consult                                                                                    |          1 |          0 |          0 |          1 |          1 |
| lib\src\pages\course                                                                                     |          1 |          0 |          0 |          1 |          1 |
| lib\src\pages\forum                                                                                      |          1 |          0 |          0 |          1 |          1 |
| lib\src\pages\games                                                                                      |          1 |          0 |          0 |          1 |          1 |
| lib\src\pages\onboarding                                                                                 |          2 |        194 |          8 |         11 |        213 |
| lib\src\pages\settings                                                                                   |          1 |          0 |          0 |          1 |          1 |
| lib\src\reusable_comp                                                                                    |          2 |         49 |          0 |          8 |         57 |
| lib\src\reusable_func                                                                                    |          2 |         31 |          1 |          7 |         39 |
| lib\src\theme                                                                                            |          1 |         41 |          0 |          5 |         46 |
| linux                                                                                                    |          6 |        117 |         27 |         44 |        188 |
| linux (Files)                                                                                            |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                            |          3 |         31 |          9 |         17 |         57 |
| macos                                                                                                    |          6 |        446 |          5 |         16 |        467 |
| macos\Flutter                                                                                            |          1 |          8 |          3 |          4 |         15 |
| macos\Runner                                                                                             |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                     |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                        |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                             |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                          |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                  |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                     |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                      |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                  |         11 |        458 |         94 |        149 |        701 |
| windows\flutter                                                                                          |          3 |         30 |          9 |         17 |         56 |
| windows\runner                                                                                           |          8 |        428 |         85 |        132 |        645 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                 | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
